COD_CNAE;DISC_CNAE;CLA_RISCO
4391600;Obras de fundações;Baixo Risco
4399101;Administração de obras;Baixo Risco
4399102;Montagem e desmontagem de andaimes e outras estruturas temporárias;Baixo Risco
4399103;Obras de alvenaria;Baixo Risco
4399105;Perfuração e construção de poços de água;Baixo Risco
4399199;Serviços especializados para construção não especificados anteriormente;Baixo Risco
4511101;Comércio a varejo de automóveis, camionetas e utilitários novos;Baixo Risco
4511102;Comércio a varejo de automóveis, camionetas e utilitários usados;Baixo Risco
4511103;Comércio por atacado de automóveis, camionetas e utilitários novos e usados;Baixo Risco
4511104;Comércio por atacado de caminhões novos e usados;Baixo Risco
4511105;Comércio por atacado de reboques e semireboques novos e usados;Baixo Risco
4511106;Comércio por atacado de ônibus e micro-ônibus novos e usados;Baixo Risco
4512901;Representantes comerciais e agentes do comércio de veículos automotores;Baixo Risco
4512902;Comércio sob consignação de veículos automotores;Baixo Risco
4530701;Comércio por atacado de peças e acessórios novos para veículos automotores;Baixo Risco
4530702;Comércio por atacado de pneumáticos e câmaras-de-ar;Baixo Risco
4541201;Comércio por atacado de motocicletas e motonetas;Baixo Risco
4541202;Comércio por atacado de peças e acessórios para motocicletas e motonetas;Baixo Risco
4541203;Comércio a varejo de motocicletas e motonetas novas;Baixo Risco
4541204;Comércio a varejo de motocicletas e motonetas usadas;Baixo Risco
4541206;Comércio a varejo de peças e acessórios novos para motocicletas e motonetas;Baixo Risco
4541207;Comércio a varejo de peças e acessórios usados para motocicletas e motonetas;Baixo Risco
4623101;Comércio atacadista de animais vivos;Baixo Risco
4623103;Comércio atacadista de algodão;Baixo Risco
4623104;Comércio atacadista de fumo em folha não beneficiado;Baixo Risco
4623106;Comércio atacadista de sementes, flores, plantas e gramas;Baixo Risco
4623107;Comércio atacadista de sisal;Baixo Risco
4623109;Comércio atacadista de alimentos para animais;Baixo Risco
4633803;Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação;Baixo Risco
4649401;Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;Baixo Risco
4649402;Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;Baixo Risco
4649403;Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;Baixo Risco
4663000;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";Baixo Risco
4665600;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";Baixo Risco
4669901;"Comércio atacadista de bombas e compressores; partes e peças";Baixo Risco
4671100;Comércio atacadista de madeira e produtos derivados;Baixo Risco
4672900;Comércio atacadista de ferragens e ferramentas;Baixo Risco
4673700;Comércio atacadista de material elétrico;Baixo Risco
4674500;Comércio atacadista de cimento;Baixo Risco
4679601;Comércio atacadista de tintas, vernizes e similares;Baixo Risco
4679602;Comércio atacadista de mármores e granitos;Baixo Risco
4679603;Comércio atacadista de vidros, espelhos e vitrais;Baixo Risco
4679699;Comércio atacadista de materiais de construção em geral;Baixo Risco
4681802;Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);Baixo Risco
4681803;Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;Baixo Risco
4681804;Comércio atacadista de combustíveis de origem mineral em bruto;Baixo Risco
4681805;Comércio atacadista de lubrificantes;Baixo Risco
4682600;Comércio atacadista de gás liquefeito de petróleo (GLP);Baixo Risco
4683400;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;Baixo Risco
4684201;Comércio atacadista de resinas e elastômeros;Baixo Risco
4684202;Comércio atacadista de solventes;Baixo Risco
4685100;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;Baixo Risco
4687702;Comércio atacadista de resíduos e sucatas não metálicos, exceto de papel e papelão;Baixo Risco
4689301;Comércio atacadista de produtos da extração mineral, exceto combustíveis;Baixo Risco
4713002;Lojas de variedades, exceto lojas de departamentos ou magazines;Baixo Risco
4713004;Lojas de departamentos ou magazines, exceto lojas francas (Duty free);Baixo Risco
4713005;Lojas francas (Duty Free) de aeroportos, portos e em fronteiras terrestres;Baixo Risco
4731800;Comércio varejista de combustíveis para veículos automotores;Baixo Risco
4732600;Comércio varejista de lubrificantes;Baixo Risco
4744002;Comércio varejista de madeira e artefatos;Baixo Risco
4744004;Comércio varejista de cal, areia, pedra britada, tijolos e telhas;Baixo Risco
4744005;Comércio varejista de materiais de construção não especificados anteriormente;Baixo Risco
4784900;Comércio varejista de gás liqüefeito de petróleo (GLP);Baixo Risco
4789006;Comércio varejista de fogos de artifício e artigos pirotécnicos;Baixo Risco
4789009;Comércio varejista de armas e munições;Baixo Risco
4789099;Comércio varejista de outros produtos não especificados anteriormente;Baixo Risco
4911600;Transporte ferroviário de carga;Baixo Risco
4912401;Transporte ferroviário de passageiros intermunicipal e interestadual;Baixo Risco
4912402;Transporte ferroviário de passageiros municipal e em região metropolitana;Baixo Risco
4912403;Transporte metroviário;Baixo Risco
4921301;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;Baixo Risco
4922102;Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;Baixo Risco
4922103;Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional;Baixo Risco
4923001;Serviço de táxi;Baixo Risco
4923002;Serviço de transporte de passageiros - locação de automóveis com motorista;Baixo Risco
4924800;Transporte escolar;Baixo Risco
4929901;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;Baixo Risco
4929903;Organização de excursões em veículos rodoviários próprios, municipal;Baixo Risco
4929999;Outros transportes rodoviários de passageiros não especificados anteriormente;Baixo Risco
4930203;Transporte rodoviário de produtos perigosos;Baixo Risco
4930204;Transporte rodoviário de mudanças;Baixo Risco
4940000;Transporte dutoviário;Baixo Risco
4950700;Trens turísticos, teleféricos e similares;Baixo Risco
5011401;Transporte marítimo de cabotagem - Carga;Baixo Risco
5011402;Transporte marítimo de cabotagem - passageiros;Baixo Risco
5012201;Transporte marítimo de longo curso - Carga;Baixo Risco
5012202;Transporte marítimo de longo curso - Passageiros;Baixo Risco
5021101;Transporte por navegação interior de carga, municipal, exceto travessia;Baixo Risco
5030101;Navegação de apoio marítimo;Baixo Risco
5030102;Navegação de apoio portuário;Baixo Risco
5030103;Serviço de rebocadores e empurradores;Baixo Risco
5091201;Transporte por navegação de travessia, municipal;Baixo Risco
5091202;Transporte por navegação de travessia, intermunicipal, interestadual e internacional;Baixo Risco
5099801;Transporte aquaviário para passeios turísticos;Baixo Risco
5099899;Outros transportes aquaviários não especificados anteriormente;Baixo Risco
5111100;Transporte aéreo de passageiros regular;Baixo Risco
5112901;Serviço de táxi aéreo e locação de aeronaves com tripulação;Baixo Risco
5112999;Outros serviços de transporte aéreo de passageiros não regular;Baixo Risco
5130700;Transporte espacial;Baixo Risco
5211702;Guarda-móveis;Baixo Risco
5212500;Carga e descarga;Baixo Risco
5221400;Concessionárias de rodovias, pontes, túneis e serviços relacionados;Baixo Risco
5222200;Terminais rodoviários e ferroviários;Baixo Risco
5223100;Estacionamento de veículos;Baixo Risco
5229001;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada;Baixo Risco
5229002;Serviços de reboque de veículos;Baixo Risco
5229099;Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente;Baixo Risco
5231101;Administração da infraestrutura portuária;Baixo Risco
5231102;Atividades do Operador Portuário;Baixo Risco
5231103;Gestão de terminais aquaviários;Baixo Risco
5239701;Serviços de praticagem;Baixo Risco
5239799;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;Baixo Risco
5240101;Operação dos aeroportos e campos de aterrissagem;Baixo Risco
5250801;Comissaria de despachos;Baixo Risco
5250802;Atividades de despachantes aduaneiros;Baixo Risco
5250803;Agenciamento de cargas, exceto para o transporte marítimo;Baixo Risco
5250804;Organização logística do transporte de carga;Baixo Risco
5250805;Operador de transporte multimodal - OTM;Baixo Risco
5310501;Atividades do Correio Nacional;Baixo Risco
5310502;Atividades de franqueadas do Correio Nacional;Baixo Risco
5320201;Serviços de malote não realizados pelo Correio Nacional;Baixo Risco
5320202;Serviços de entrega rápida;Baixo Risco
5811500;Edição de livros;Baixo Risco
5821200;Edição integrada à impressão de livros;Baixo Risco
5822101;Edição integrada à impressão de jornais diários;Baixo Risco
5822102;Edição integrada à impressão de jornais não diários;Baixo Risco
5823900;Edição integrada à impressão de revistas;Baixo Risco
5829800;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;Baixo Risco
5911101;Estúdios cinematográficos;Baixo Risco
5913800;Distribuição cinematográfica, de vídeo e de programas de televisão;Baixo Risco
5914600;Atividades de exibição cinematográfica;Baixo Risco
6010100;Atividades de rádio;Baixo Risco
6021700;Atividades de televisão aberta;Baixo Risco
6022501;Programadoras;Baixo Risco
6022502;Atividades relacionadas à televisão por assinatura, exceto programadoras;Baixo Risco
6110801;Serviços de telefonia fixa comutada - STFC;Baixo Risco
6110802;Serviços de redes de transporte de telecomunicações - SRTT;Baixo Risco
6110803;Serviços de comunicação multimídia - SCM;Baixo Risco
6110899;Serviços de telecomunicações por fio não especificados anteriormente;Baixo Risco
6120501;Telefonia móvel celular;Baixo Risco
6120502;Serviço móvel especializado - SME;Baixo Risco
6120599;Serviços de telecomunicações sem fio não especificados anteriormente;Baixo Risco
6130200;Telecomunicações por satélite;Baixo Risco
6141800;Operadoras de televisão por assinatura por cabo;Baixo Risco
6142600;Operadoras de televisão por assinatura por micro-ondas;Baixo Risco
6143400;Operadoras de televisão por assinatura por satélite;Baixo Risco
6190601;Provedores de acesso às redes de comunicações;Baixo Risco
6190602;Provedores de voz sobre protocolo internet - VOIP;Baixo Risco
6190699;Outras atividades de telecomunicações não especificadas anteriormente;Baixo Risco
6201501;Desenvolvimento de programas de computador sob encomenda;Baixo Risco
6202300;Desenvolvimento e licenciamento de programas de computador customizáveis;Baixo Risco
6319400;Portais, provedores de conteúdo e outros serviços de informação na Internet;Baixo Risco
6410700;Banco Central;Baixo Risco
6421200;Bancos comerciais;Baixo Risco
6422100;Bancos múltiplos, com carteira comercial;Baixo Risco
6423900;Caixas econômicas;Baixo Risco
6424701;Bancos cooperativos;Baixo Risco
6424702;Cooperativas centrais de crédito;Baixo Risco
6424703;Cooperativas de crédito mútuo;Baixo Risco
6424704;Cooperativas de crédito rural;Baixo Risco
6431000;Bancos múltiplos, sem carteira comercial;Baixo Risco
6432800;Bancos de investimento;Baixo Risco
6433600;Bancos de desenvolvimento;Baixo Risco
6434400;Agências de fomento;Baixo Risco
6435201;Sociedades de crédito imobiliário;Baixo Risco
6435202;Associações de poupança e empréstimo;Baixo Risco
6435203;Companhias hipotecárias;Baixo Risco
6436100;Sociedades de crédito, financiamento e investimento - financeiras;Baixo Risco
6437900;Sociedades de crédito ao microempreendedor;Baixo Risco
6438701;Bancos de câmbio;Baixo Risco
6438799;Outras instituições de intermediação não monetária não especificadas anteriormente;Baixo Risco
6440900;Arrendamento mercantil;Baixo Risco
6450600;Sociedades de capitalização;Baixo Risco
6461100;Holdings de instituições financeiras;Baixo Risco
6462000;Holdings de instituições não financeiras;Baixo Risco
6463800;Outras sociedades de participação, exceto holdings;Baixo Risco
6470101;Fundos de investimento, exceto previdenciários e imobiliários;Baixo Risco
6470102;Fundos de investimento previdenciários;Baixo Risco
6470103;Fundos de investimento imobiliários;Baixo Risco
6491300;Sociedades de fomento mercantil - factoring;Baixo Risco
6492100;Securitização de créditos;Baixo Risco
6493000;Administração de consórcios para aquisição de bens e direitos;Baixo Risco
6499901;Clubes de investimento;Baixo Risco
6499902;Sociedades de investimento;Baixo Risco
6499903;Fundo garantidor de crédito;Baixo Risco
6499904;Caixas de financiamento de corporações;Baixo Risco
6499905;Concessão de crédito pelas OSCIP;Baixo Risco
6499999;Outras atividades de serviços financeiros não especificadas anteriormente;Baixo Risco
6511101;Sociedade seguradora de seguros vida;Baixo Risco
6512000;Sociedade seguradora de seguros não vida;Baixo Risco
6520100;Sociedade seguradora de seguros-saúde;Baixo Risco
6530800;Resseguros;Baixo Risco
6541300;Previdência complementar fechada;Baixo Risco
6542100;Previdência complementar aberta;Baixo Risco
6550200;Planos de saúde;Baixo Risco
6611801;Bolsa de valores;Baixo Risco
6611802;Bolsa de mercadorias;Baixo Risco
6611803;Bolsa de mercadorias e futuros;Baixo Risco
6611804;Administração de mercados de balcão organizados;Baixo Risco
6612601;Corretoras de títulos e valores mobiliários;Baixo Risco
6612602;Distribuidoras de títulos e valores mobiliários;Baixo Risco
6612603;Corretoras de câmbio;Baixo Risco
6612604;Corretoras de contratos de mercadorias;Baixo Risco
6612605;Agentes de investimentos em aplicações financeiras;Baixo Risco
6613400;Administração de cartões de crédito;Baixo Risco
6619301;Serviços de liquidação e custódia;Baixo Risco
6619302;Correspondentes de instituições financeiras;Baixo Risco
6619303;Representações de bancos estrangeiros;Baixo Risco
6619304;Caixas eletrônicos;Baixo Risco
6619305;Operadoras de cartões de débito;Baixo Risco
6619399;Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente;Baixo Risco
6622300;Corretores e agentes de seguros, de planos de previdência complementar e de saúde;Baixo Risco
6630400;Atividades de administração de fundos por contrato ou comissão;Baixo Risco
6810203;Loteamento de imóveis próprios;Baixo Risco
6911702;Atividades auxiliares da justiça;Baixo Risco
6911703;Agente de propriedade industrial;Baixo Risco
6912500;Cartórios;Baixo Risco
7020400;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;Baixo Risco
7112000;Serviços de engenharia;Baixo Risco
7119701;Serviços de cartografia, topografia e geodésia;Baixo Risco
7119702;Atividades de estudos geológicos;Baixo Risco
7119704;Serviços de perícia técnica relacionados à segurança do trabalho;Baixo Risco
7311400;Agências de publicidade;Baixo Risco
7312200;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;Baixo Risco
7319001;Criação de estandes para feiras e exposições;Baixo Risco
7319099;Outras atividades de publicidade não especificadas anteriormente;Baixo Risco
7410203;Desing de produto;Baixo Risco
7420001;Atividades de produção de fotografias, exceto aérea e submarina;Baixo Risco
7420002;Atividades de produção de fotografias aéreas e submarinas;Baixo Risco
7490102;Escafandria e mergulho;Baixo Risco
7490105;Agenciamento de profissionais para atividades esportivas, culturais e artísticas;Baixo Risco
7490199;Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;Baixo Risco
7711000;Locação de automóveis sem condutor;Baixo Risco
7719501;Locação de embarcações sem tripulação, exceto para fins recreativos;Baixo Risco
7719502;Locação de aeronaves sem tripulação;Baixo Risco
7719599;Locação de outros meios de transporte não especificados anteriormente, sem condutor;Baixo Risco
7731400;Aluguel de máquinas e equipamentos agrícolas sem operador;Baixo Risco
7732201;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;Baixo Risco
7732202;Aluguel de andaimes;Baixo Risco
7733100;Aluguel de máquinas e equipamentos para escritório;Baixo Risco
7739003;Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;Baixo Risco
7740300;Gestão de ativos intangíveis não financeiros;Baixo Risco
7810800;Seleção e agenciamento de mão de obra;Baixo Risco
7820500;Locação de mão de obra temporária;Baixo Risco
7830200;Fornecimento e gestão de recursos humanos para terceiros;Baixo Risco
7912100;Operadores turísticos;Baixo Risco
7990200;Serviços de reservas e outros serviços de turismo não especificados anteriormente;Baixo Risco
8011101;Atividades de vigilância e segurança privada;Baixo Risco
8012900;Atividades de transporte de valores;Baixo Risco
8020001;Atividades de monitoramento de sistemas de segurança eletrônico;Baixo Risco
8020002;Outras atividades de serviços de segurança;Baixo Risco
8111700;Serviços combinados para apoio a edifícios, exceto condomínios prediais;Baixo Risco
8112500;Condomínios prediais;Baixo Risco
8121400;Limpeza em prédios e em domicílios;Baixo Risco
8130300;Atividades paisagísticas;Baixo Risco
8230001;Serviços de organização de feiras, congressos, exposições e festas;Baixo Risco
8230002;Casas de festas e eventos;Baixo Risco
8299701;Medição de consumo de energia elétrica, gás e água;Baixo Risco
8299702;Emissão de vales-alimentação, vales-transporte e similares;Baixo Risco
8299704;Leiloeiros independentes;Baixo Risco
8299705;Serviços de levantamento de fundos sob contrato;Baixo Risco
8299706;Casas lotéricas;Baixo Risco
8299707;Salas de acesso à Internet;Baixo Risco
8411600;Administração pública em geral;Baixo Risco
8413200;Regulação das atividades econômicas;Baixo Risco
8421300;Relações exteriores;Baixo Risco
8422100;Defesa;Baixo Risco
8424800;Segurança e ordem pública;Baixo Risco
8425600;Defesa Civil;Baixo Risco
8430200;Seguridade social obrigatória;Baixo Risco
8550301;Administração de caixas escolares;Baixo Risco
8550302;Atividades de apoio à educação, exceto caixas escolares;Baixo Risco
8593700;Ensino de idiomas;Baixo Risco
8599601;Formação de condutores;Baixo Risco
8599602;Cursos de pilotagem;Baixo Risco
8660700;Atividades de apoio à gestão de saúde;Baixo Risco
9001901;Produção teatral;Baixo Risco
9001902;Produção musical;Baixo Risco
9001904;Produção de espetáculos circenses, de marionetes e similares;Baixo Risco
9001905;Produção de espetáculos de rodeios, vaquejadas e similares;Baixo Risco
9001906;Atividades de sonorização e de iluminação;Baixo Risco
9001999;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Baixo Risco
9003500;Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas;Baixo Risco
9101500;Atividades de bibliotecas e arquivos;Baixo Risco
9200301;Casas de bingo;Baixo Risco
9200302;Exploração de apostas em corridas de cavalos;Baixo Risco
9200399;Exploração de jogos de azar e apostas não especificados anteriormente;Baixo Risco
9311500;Gestão de instalações de esportes;Baixo Risco
9319101;Produção e promoção de eventos esportivos;Baixo Risco
9319199;Outras atividades esportivas não especificadas anteriormente;Baixo Risco
9329801;Discotecas, danceterias, salões de dança e similares;Baixo Risco
9329802;Exploração de boliches;Baixo Risco
9329899;Outras atividades de recreação e lazer não especificadas anteriormente;Baixo Risco
9411100;Atividades de organizações associativas patronais e empresariais;Baixo Risco
9412001;Atividades de fiscalização profissional;Baixo Risco
9412099;Outras atividades associativas profissionais;Baixo Risco
9420100;Atividades de organizações sindicais;Baixo Risco
9491000;Atividades de organizações religiosas ou filosóficas;Baixo Risco
9492800;Atividades de organizações políticas;Baixo Risco
9493600;Atividades de organizações associativas ligadas à cultura e à arte;Baixo Risco
9499500;Atividades associativas não especificadas anteriormente;Baixo Risco
9511800;Reparação e manutenção de computadores e de equipamentos periféricos;Baixo Risco
9512600;Reparação e manutenção de equipamentos de comunicação;Baixo Risco
9521500;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;Baixo Risco
9529104;Reparação de bicicletas, triciclos e outros veículos não motorizados;Baixo Risco
9529105;Reparação de artigos do mobiliário;Baixo Risco
9609204;Exploração de máquinas de serviços pessoais acionadas por moeda;Baixo Risco
9609208;Higiene e embelezamento de animais domésticos;Baixo Risco
9609299;Outras atividades de serviços pessoais não especificadas anteriormente;Baixo Risco
9700500;Serviços domésticos;Baixo Risco
9900800;Organismos internacionais e outras instituições extraterritoriais;Baixo Risco
0121101;Horticultura, exceto morango;Baixo Risco
1210700;Processamento industrial do fumo;Baixo Risco
1220401;Fabricação de cigarros;Baixo Risco
1220402;Fabricação de cigarrilhas e charutos;Baixo Risco
1220403;Fabricação de filtros para cigarros;Baixo Risco
1220499;Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;Baixo Risco
1340599;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;Baixo Risco
1359600;Fabricação de outros produtos têxteis não especificados anteriormente;Baixo Risco
1411801;Confecção de roupas íntimas;Baixo Risco
1411802;Facção de roupas íntimas;Baixo Risco
1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;Baixo Risco
1412603;Facção de peças do vestuário, exceto roupas íntimas;Baixo Risco
1413401;Confecção de roupas profissionais, exceto sob medida;Baixo Risco
1413402;Confecção, sob medida, de roupas profissionais;Baixo Risco
1413403;Facção de roupas profissionais;Baixo Risco
1414200;Fabricação de acessórios do vestuário, exceto para segurança e proteção;Baixo Risco
1422300;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;Baixo Risco
1529700;Fabricação de artefatos de couro não especificados anteriormente;Baixo Risco
1822901;Serviços de encadernação e plastificação;Baixo Risco
1822999;Serviços de acabamentos gráficos, exceto encadernação e plastificação;Baixo Risco
2122000;Fabricação de medicamentos para uso veterinário;Baixo Risco
2539002;Serviços de tratamento e revestimento em metais;Baixo Risco
3312102;Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle;Baixo Risco
3312104;Manutenção e reparação de equipamentos e instrumentos ópticos;Baixo Risco
3313902;Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos;Baixo Risco
3314702;Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas;Baixo Risco
3314703;Manutenção e reparação de válvulas industriais;Baixo Risco
3314712;Manutenção e reparação de tratores agrícolas;Baixo Risco
3314713;Manutenção e reparação de máquinas-ferramenta;Baixo Risco
3329501;Serviços de montagem de móveis de qualquer material;Baixo Risco
3831999;Recuperação de materiais metálicos, exceto alumínio;Baixo Risco
3832700;Recuperação de materiais plásticos;Baixo Risco
4520001;Serviços de manutenção e reparação mecânica de veículos automotores;Baixo Risco
4520002;Serviços de lanternagem ou funilaria e pintura de veículos automotores;Baixo Risco
4520003;Serviços de manutenção e reparação elétrica de veículos automotores;Baixo Risco
4520004;Serviços de alinhamento e balanceamento de veículos automotores;Baixo Risco
4520005;Serviços de lavagem, lubrificação e polimento de veículos automotores;Baixo Risco
4520006;Serviços de borracharia para veículos automotores;Baixo Risco
4520008;Serviços de capotaria;Baixo Risco
4530703;Comércio a varejo de peças e acessórios novos para veículos automotores;Baixo Risco
4530704;Comércio a varejo de peças e acessórios usados para veículos automotores;Baixo Risco
4530705;Comércio a varejo de pneumáticos e câmaras-de-ar;Baixo Risco
4530706;Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores;Baixo Risco
4542101;Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios;Baixo Risco
4542102;Comércio sob consignação de motocicletas e motonetas;Baixo Risco
4543900;Manutenção e reparação de motocicletas e motonetas;Baixo Risco
4611700;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;Baixo Risco
4618402;Representantes comerciais e agentes do comércio de instrumentos e materiais odonto- médico-hospitalares;Baixo Risco
4618403;Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações;Baixo Risco
4619200;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;Baixo Risco
4636201;Comércio atacadista de fumo beneficiado;Baixo Risco
4641901;Comércio atacadista de tecidos;Baixo Risco
4641902;Comércio atacadista de artigos de cama, mesa e banho;Baixo Risco
4641903;Comércio atacadista de artigos de armarinho;Baixo Risco
4642702;Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;Baixo Risco
4643501;Comércio atacadista de calçados;Baixo Risco
4643502;Comércio atacadista de bolsas, malas e artigos de viagem;Baixo Risco
4644302;Comércio atacadista de medicamentos e drogas de uso veterinário;Baixo Risco
4647801;Comércio atacadista de artigos de escritório e de papelaria;Baixo Risco
4647802;Comércio atacadista de livros, jornais e outras publicações;Baixo Risco
4649404;Comércio atacadista de móveis e artigos de colchoaria;Baixo Risco
4649405;Comércio atacadista de artigos de tapeçaria, persianas e cortinas;Baixo Risco
4649406;Comércio atacadista de lustres, luminárias e abajures;Baixo Risco
4649407;Comércio atacadista de filmes, CDs, DVDs, fitas e discos;Baixo Risco
4649410;Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas;Baixo Risco
4651601;Comércio atacadista de equipamentos de informática;Baixo Risco
4651602;Comércio atacadista de suprimentos para informática;Baixo Risco
4652400;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;Baixo Risco
4686901;Comércio atacadista de papel e papelão em bruto;Baixo Risco
4686902;Comércio atacadista de embalagens;Baixo Risco
4687701;Comércio atacadista de resíduos de papel e papelão;Baixo Risco
4687703;Comércio atacadista de resíduos e sucatas metálicos;Baixo Risco
4689302;Comércio atacadista de fios e fibras beneficiados;Baixo Risco
4692300;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;Baixo Risco
4741500;Comércio varejista de tintas e materiais para pintura;Baixo Risco
4742300;Comércio varejista de material elétrico;Baixo Risco
4743100;Comércio varejista de vidros;Baixo Risco
4744001;Comércio varejista de ferragens e ferramentas;Baixo Risco
4744003;Comércio varejista de materiais hidráulicos;Baixo Risco
4744006;Comércio varejista de pedras para revestimento;Baixo Risco
4744099;Comércio varejista de materiais de construção em geral;Baixo Risco
4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;Baixo Risco
4751202;Recarga de cartuchos para equipamentos de informática;Baixo Risco
4752100;Comércio varejista especializado de equipamentos de telefonia e comunicação;Baixo Risco
4753900;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;Baixo Risco
4754701;Comércio varejista de móveis;Baixo Risco
4754702;Comércio varejista de artigos de colchoaria;Baixo Risco
4754703;Comércio varejista de artigos de iluminação;Baixo Risco
4755501;Comércio varejista de tecidos;Baixo Risco
4755502;Comercio varejista de artigos de armarinho;Baixo Risco
4755503;Comercio varejista de artigos de cama, mesa e banho;Baixo Risco
4756300;Comércio varejista especializado de instrumentos musicais e acessórios;Baixo Risco
4757100;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;Baixo Risco
4759801;Comércio varejista de artigos de tapeçaria, cortinas e persianas;Baixo Risco
4759899;Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;Baixo Risco
4761001;Comércio varejista de livros;Baixo Risco
4761002;Comércio varejista de jornais e revistas;Baixo Risco
4761003;Comércio varejista de artigos de papelaria;Baixo Risco
4762800;Comércio varejista de discos, CDs, DVDs e fitas;Baixo Risco
4763601;Comércio varejista de brinquedos e artigos recreativos;Baixo Risco
4763602;Comércio varejista de artigos esportivos;Baixo Risco
4763603;Comércio varejista de bicicletas e triciclos, peças e acessórios;Baixo Risco
4763604;Comércio varejista de artigos de caça, pesca e camping;Baixo Risco
4763605;Comércio varejista de embarcações e outros veículos recreativos, peças e acessórios;Baixo Risco
4771704;Comércio varejista de medicamentos veterinários;Baixo Risco
4781400;Comércio varejista de artigos do vestuário e acessórios;Baixo Risco
4782201;Comércio varejista de calçados;Baixo Risco
4782202;Comércio varejista de artigos de viagem;Baixo Risco
4783101;Comércio varejista de artigos de joalheria;Baixo Risco
4783102;Comércio varejista de artigos de relojoaria;Baixo Risco
4785701;Comércio varejista de antiguidades;Baixo Risco
4785799;Comércio varejista de outros artigos usados;Baixo Risco
4789001;Comércio varejista de suvenires, bijuterias e artesanatos;Baixo Risco
4789002;Comércio varejista de plantas e flores naturais;Baixo Risco
4789003;Comércio varejista de objetos de arte;Baixo Risco
4789004;Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;Baixo Risco
4789007;Comércio varejista de equipamentos para escritório;Baixo Risco
4789008;Comércio varejista de artigos fotográficos e para filmagem;Baixo Risco
5232000;Atividades de agenciamento marítimo;Baixo Risco
5812301;Edição de jornais diários;Baixo Risco
5812302;Edição de jornais não diários;Baixo Risco
5813100;Edição de revistas;Baixo Risco
5819100;Edição de cadastros, listas e outros produtos gráficos;Baixo Risco
5911102;Produção de filmes para publicidade;Baixo Risco
5912001;Serviços de dublagem;Baixo Risco
5912002;Serviços de mixagem sonora em produção audiovisual;Baixo Risco
5920100;Atividades de gravação de som e de edição de música;Baixo Risco
6201502;Web design;Baixo Risco
6204000;Consultoria em tecnologia da informação;Baixo Risco
6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Baixo Risco
6391700;Agências de notícias;Baixo Risco
6511102;Planos de auxílio-funeral;Baixo Risco
6621501;Peritos e avaliadores de seguros;Baixo Risco
